pl_name,hostname,disc_year,discoverymethod,sy_snum,sy_pnum,sy_mnum,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,pl_dens,pl_orbeccen,pl_bmasse,st_spectype,st_teff,st_rad,st_mass,st_age,ra,dec,sy_dist
EPIC 249893012 b,EPIC 249893012,2020,Transit,1,3,0,1.95,8.75,3.5951,0.047,1616.0,1037.0,6.39,0.06,8.75,G8 IV/V,5430.0,1.71,1.05,9.0,228.2482353,-16.7246474,321.296
EPIC 249893012 c,EPIC 249893012,2020,Transit,1,3,0,3.67,14.67,15.624,0.13,990.0,160.0,1.62,0.07,14.67,G8 IV/V,5430.0,1.71,1.05,9.0,228.2482353,-16.7246474,321.296
EPIC 249893012 d,EPIC 249893012,2020,Transit,1,3,0,3.94,10.18,35.747,0.22,752.0,53.0,0.91,0.15,10.18,G8 IV/V,5430.0,1.71,1.05,9.0,228.2482353,-16.7246474,321.296
GJ 486 b,GJ 486,2021,Radial Velocity,1,1,0,1.343,3.0,1.4671205,0.01713,706.0,41.3,6.79,0.0,3.0,M3.5 V,3291.0,0.339,0.333,4.0,191.981531,9.7494181,8.07426
GPX-1 b,GPX-1,2021,Transit,1,1,0,16.47720163,6261.2196179,1.744579,0.0338,2300.0,4650.0,8.222423,0.0,6261.2196179,F2,7000.0,1.56,1.68,0.27,38.3691648,56.025708,655.013
HAT-P-68 b,HAT-P-68,2020,Transit,1,1,0,12.016048,230.10892,2.29840551,0.02996,1027.8,184.8,0.727,0.041,230.10892,K,4508.0,0.6701,0.6785,11.1,118.4831501,23.9382192,202.152
HATS-17 b,HATS-17,2016,Transit,1,1,0,8.709393,425.25654,16.254611,0.1308,814.0,72.7,3.5,0.029,425.25654,G V,5846.0,1.091,1.131,2.1,192.1895676,-47.6136789,400.331
HATS-18 b,HATS-18,2016,Transit,1,1,0,14.986433,629.3034,0.8378434,0.01761,2060.0,2990.0,1.02,0.166,629.3034,G V,5600.0,1.02,1.037,4.2,173.9574203,-29.1560639,624.368
HATS-36 b,HATS-36,2018,Transit,1,1,0,13.843115,1022.14128,4.1752387,0.05425,1356.0,561.0,2.12,0.105,1022.14128,G0 V,6149.0,1.155,1.222,0.62,291.4787013,-23.2028183,856.436
HD 110113 b,HD 110113,2021,Transit,1,2,0,2.05,4.55,2.541,0.035,1371.0,735.49,2.9,0.093,4.55,G,5732.0,0.968,0.997,4.0,190.0365636,-44.3120777,106.307
HD 191939 b,HD 191939,2020,Transit,1,6,0,3.41,10.0,8.8803256,0.0804,880.0,100.0,1.4,0.031,10.0,G9 V,5348.0,0.94,0.81,8.7,302.0256247,66.8503014,53.6089
